funny,value
#lol17,1.0
#lols,1.0
"\""lol\""",1.0
‘hahahaha’,2.0
ahhaahhahah,2.0
ahhhahhah,2.0
baahahahhahahahahah,2.0
bagahahsha,2.0
bahaaa,1.5
bahaahahhahahhahhha,2.0
bahaahhaha,2.0
bahahaahaahaggag,2.0
bahahaahaha,2.0
bahahaahh,2.0
bahahaahhaahhahahhaha,2.0
bahahaahhhhhahah,2.0
bahahaha,2.0
bahahahaa,2.0
bahahahaaha,2.0
bahahahah,2.0
bahahahaha,2.0
bahahahahaaahhahha,2.0
bahahahahah,2.0
bahahahahaha,2.0
bahahahahahahah,2.0
bahahahahahahaha,2.0
bahahahahahahahahaha,2.0
bahahahahahahahhaha,2.0
bahahahahahhha,2.0
bahahahahh,2.0
bahahahahhaha,2.0
bahahahahhahah,2.0
bahahahahhahahh,2.0
bahahahahhahhah,2.0
bahahahahhhahh,2.0
bahahahhaaha,2.0
bahahahhaahh,2.0
bahahahhaggagag,2.0
bahahahhah,2.0
bahahahhaha,2.0
bahahahhahah,2.0
bahahahhahahaggagg,2.0
bahahahhahahahahahhahha,2.0
bahahahhahahahahh,2.0
bahahahhahh,2.0
bahahahhahh.,2.0
bahahahhahhaahhah,2.0
bahahahhahhah,2.0
bahahahhahhahg,2.0
bahahahhahhhahahhhag,2.0
bahahahhhah,2.0
bahahahhhhahhahhaahahhh,2.0
bahahhaahaggagag,2.0
bahahhaahah,2.0
bahahhaahahah,2.0
bahahhaahhahahhahah,2.0
bahahhahah,2.0
bahahhahahah,2.0
bahahhahahah.,2.0
bahahhahahahaha,2.0
bahahhahahhah,2.0
bahahhahhahhag,2.0
bahahhahhhah,2.0
bahahhhahhah,2.0
bahahhhahhahahhaha,2.0
bahajahhhahaah,2.0
bajahahahhaahh,2.0
bajahahhahaha,2.0
bajajajjahhahha,2.0
bajajjajjahahahahhah,2.0
haahaha,1.5
haha,1.0
haha-,1.0
"haha,",1.0
haha.,1.0
hahaahhahahah,2.0
hahabhaah,2.0
hahah,1.5
"hahah,",1.5
hahaha,1.5
"hahaha,",1.5
hahaha.,1.5
hahahaah,2.0
hahahaaha,2.0
hahahah,1.5
"hahahah,",2.0
hahahaha,2.0
hahahahagg,2.0
hahahahah,2.0
hahahahaha,2.0
hahahahahah,2.0
hahahahahaha,2.0
hahahahahahaahahaha,2.0
hahahahahahaha,2.0
hahahahahahahaha,2.0
hahahahahahahahaha,2.0
hahahahahahahahahahahaha,2.0
hahahahahahahha,2.0
hahahahahahha,2.0
hahahahahha,2.0
hahahahahha.,2.0
hahahahahhahah,2.0
hahahahahhahahaha,2.0
hahahahahhhahaha,2.0
hahahahahhhahahhhahaha,2.0
hahahahahhhahhhhahha,2.0
hahahahh,2.0
hahahahha,2.0
hahahahhaah,2.0
hahahahhaga,2.0
hahahahhah,2.0
hahahahhaha,2.0
